-9.583090868190364056e-03,-9.583090868190364056e-03,9.580811017724752965e-01,-1.394748185898689041e-01,-9.583090868190364056e-03,2.191808143410391152e-01,-9.583090868190364056e-03,-3.039069067144765934e-02,-1.355680895465340152e-02,-1.081624225796248145e-01,-4.925385514540851079e-02,-3.468370364014480151e-02,-5.020818245628594356e-02,-1.355680895465340152e-02,-3.851481268769063604e-02,-3.600441205848640275e-02,-3.600441205848640275e-02,-4.201064972509828410e-02,-3.188412958193452551e-02,-4.524905682180109523e-02,-2.882200965340981844e-02,-2.882200965340981844e-02,-2.351074846936354601e-02,-2.145549874102165022e-02,-2.540254062759291637e-02,-1.918432294416786560e-02,-3.971279352063900731e-02,-1.355680895465340152e-02,-5.386797007879035731e-02,-4.524905682180109523e-02,-4.925385514540851079e-02,-9.022144831277324750e-02,-6.368894508613436034e-02,-6.444611765469834830e-02,-5.731157767515220047e-02,-6.739913577845389747e-02,-3.188412958193452551e-02,-7.231099490576511912e-02,-2.145549874102165022e-02,-1.355680895465340152e-02,-1.785436018359636279e-01,-6.667172306660146264e-02,-8.380099654900902140e-02,-5.020818245628594356e-02
-9.555894245551496344e-03,-9.555894245551496344e-03,-1.390789918090330479e-01,9.607342507736611470e-01,-9.555894245551496344e-03,-4.189142433079678235e-02,-9.555894245551496344e-03,-3.030444249147166980e-02,-1.351833499855738079e-02,-1.004842747997977681e-01,-4.911407367716160571e-02,-3.458527197414124760e-02,-5.006569262597664050e-02,-1.351833499855738079e-02,-3.840550840986616671e-02,-3.590223224807270047e-02,-3.590223224807270047e-02,-4.189142433079678235e-02,-3.179364305182272310e-02,-4.512064089211059031e-02,-2.874021335918500522e-02,-2.874021335918500522e-02,-2.344402542949328497e-02,-2.139460845929373745e-02,-2.533044871893634989e-02,-1.912987821450067710e-02,-3.960008939686812668e-02,-1.351833499855738079e-02,-5.371509384348117921e-02,-4.512064089211059031e-02,-4.911407367716160571e-02,-8.996540162413761699e-02,-6.350819711769709053e-02,-6.426322084546398639e-02,-5.714892854948825512e-02,-6.720785836209997033e-02,1.967665495839459600e-01,-7.210577773020633574e-02,1.243675500300180960e-02,-1.351833499855738079e-02,-1.780368986197982950e-01,-4.395493550453281190e-02,-8.356317097568909114e-02,-5.006569262597664050e-02
-6.980961140743566912e-03,-6.980961140743566912e-03,-1.016027398759287020e-01,-1.016027398759287020e-01,-6.980961140743566912e-03,-8.127593718690959840e-03,-6.980961140743566912e-03,-2.213860157811452581e-02,-9.875681844890113470e-03,2.118848426792434847e-01,-3.587978591993030986e-02,2.894057608833171605e-02,-3.657498144342258978e-02,-9.875681844890113470e-03,-2.805675271307931859e-02,-2.622800982821900384e-02,-2.622800982821900384e-02,-3.060335305822697166e-02,-2.322652186850743261e-02,-3.296242430266561885e-02,-2.099586992923763856e-02,-2.099586992923763856e-02,-1.712679381964542571e-02,-1.562961314115437692e-02,-1.850490112600517920e-02,-1.397513754453222692e-02,4.228691485975264591e-02,-9.875681844890113470e-03,-3.924101430562607074e-02,-3.296242430266561885e-02,-3.587978591993030986e-02,-6.572330716634533498e-02,-4.639526608446043615e-02,-3.202290088683192731e-02,-8.411376458672025630e-03,-3.478540956247766491e-02,-2.322652186850743261e-02,-5.267614096838642984e-02,-1.562961314115437692e-02,-9.875681844890113470e-03,2.705958350538396062e-01,-4.856812006857782332e-02,-2.586389577880771409e-02,1.146936734332999197e-01
-3.363010731103312483e-03,-3.363010731103312483e-03,-4.894614045593325552e-02,-4.894614045593325552e-02,-3.363010731103312483e-03,-1.474287031077763273e-02,1.873697815670989919e-01,-1.066505788784403649e-02,-4.757514524395430738e-03,-3.795762691187952453e-02,-1.728474097559047976e-02,-1.217161238900369043e-02,-1.761964471715040878e-02,-4.757514524395430738e-03,-1.351607014445400934e-02,-1.263509088927382805e-02,-1.263509088927382805e-02,-1.474287031077763273e-02,-1.118915299987995222e-02,-1.587933014066853291e-02,-1.011455793225553984e-02,-1.011455793225553984e-02,-8.250667815453062437e-03,-7.529415456837352041e-03,-8.914557724945683381e-03,-6.732387787779706319e-03,-1.393647963991591007e-02,-4.757514524395430738e-03,-1.890398034720226425e-02,-1.587933014066853291e-02,-1.728474097559047976e-02,-3.166156963602237417e-02,-2.235047217263480893e-02,-2.261618805787492595e-02,-2.011245154501953639e-02,7.310917565588522793e-01,-1.118915299987995222e-02,-2.537622309854678515e-02,-7.529415456837352041e-03,-4.757514524395430738e-03,-6.265661645109377176e-02,-2.339722363255326495e-02,-2.940842934161674860e-02,-1.761964471715040878e-02
-1.092087737615931057e-03,-1.092087737615931057e-03,-1.589453143909984323e-02,-1.589453143909984323e-02,-1.092087737615931057e-03,-4.787527953673844511e-03,-1.092087737615931057e-03,-3.463318993471487320e-03,-1.544932112636285011e-03,-1.232617503003461019e-02,-5.612962662511974087e-03,-3.952550170032963391e-03,-5.721717673626465668e-03,-1.544932112636285011e-03,-4.389142838290145156e-03,-4.103057922539474732e-03,-4.103057922539474732e-03,-4.787527953673844511e-03,-3.633511089472054190e-03,-5.156576387875469979e-03,-3.284552317083548265e-03,-3.284552317083548265e-03,-2.679281711790027030e-03,-2.445065731066000878e-03,-2.894870089959126428e-03,-2.186242844814638518e-03,-4.525664571784767526e-03,8.162397806128580680e-01,-6.138786575485931721e-03,-5.156576387875469979e-03,-5.612962662511974087e-03,-1.028162403211514177e-02,-7.257983557386016651e-03,-7.344270840764768535e-03,-6.531219630840857417e-03,-7.680796386256130530e-03,-3.633511089472054190e-03,-8.240551187250354584e-03,-2.445065731066000878e-03,-1.544932112636285011e-03,1.746668799218899226e-02,-7.597900532118204847e-03,-9.549950218561335455e-03,-5.721717673626465668e-03
-3.713004605490257109e-03,-3.713004605490257109e-03,-5.404004312357044149e-02,-5.404004312357044149e-02,-3.713004605490257109e-03,-1.627718426699878776e-02,-3.713004605490257109e-03,-1.177498742098679295e-02,-5.252636625982969217e-03,-4.190793750189790445e-02,-1.908359145378595023e-02,-1.343833144468923463e-02,-1.945334916026819627e-02,-5.252636625982969217e-03,-1.492270905660258822e-02,-1.395004488947034806e-02,-1.395004488947034806e-02,7.040460234012156926e-01,5.646908605097127332e-01,-1.753191727849745182e-02,-1.116719605965751060e-02,-1.116719605965751060e-02,-9.109327934584682609e-03,-8.313013696127805746e-03,-9.842309922624876278e-03,-7.433038090179226384e-03,-1.538687123676005589e-02,-5.252636625982969217e-03,-2.087134764159128547e-02,-1.753191727849745182e-02,-1.908359145378595023e-02,-3.495663953383623679e-02,-2.467652135164283278e-02,-2.496989071158085480e-02,-2.220558635858336030e-02,-2.611404869196648146e-02,-1.235362594470802537e-02,-2.801716698773088973e-02,-8.313013696127805746e-03,-5.252636625982969217e-03,-2.346924399597541053e-02,-1.291557780921123808e-04,-3.246901134622140472e-02,-1.945334916026819627e-02
-1.251156170930636628e-02,-1.251156170930636628e-02,-1.820965514867317614e-01,-1.820965514867317614e-01,5.037084356497923548e-02,-2.568851906387967579e-02,-1.251156170930636628e-02,6.021910933115809383e-02,-1.769959756725681885e-02,2.813507222418893394e-01,-5.178668694343926959e-02,7.397982798830186890e-03,-6.555116525077453460e-02,-1.769959756725681885e-02,-5.028445021469505477e-02,-4.700690304130574620e-02,-4.700690304130574620e-02,-4.026606409644104684e-02,-4.162751457737404182e-02,-4.550029210307941080e-02,-3.762964969494823897e-02,-3.762964969494823897e-02,-3.069533455879351613e-02,-2.801202662006365557e-02,-3.316523437028703197e-02,-2.504680834906283793e-02,-3.645058033706611439e-02,-1.769959756725681885e-02,-5.883006832972759864e-02,-5.907659381516244812e-02,-6.430520763593515488e-02,-1.177919768887068924e-01,-7.331641446331950418e-02,-5.496533919253406703e-02,-7.482526781839629604e-02,-8.799545554192207686e-02,-4.162751457737404182e-02,-9.440831642616609454e-02,1.770402887495143966e-04,-1.769959756725681885e-02,4.705038347063583704e-01,2.588139050805735378e-02,1.274762567348692310e-01,1.428351861986004445e-01
-2.451279339707676704e-03,-2.451279339707676704e-03,-3.567656259565275823e-02,-3.567656259565275823e-02,-2.451279339707676704e-03,-1.074599407803338187e-02,-2.451279339707676704e-03,-7.773699862290259395e-03,-3.467725200562690215e-03,-2.766709775050195733e-02,-1.259874910710240270e-02,-8.871818844986665772e-03,-1.284285853407629054e-02,-3.467725200562690215e-03,-9.851786434315144142e-03,-9.209645680210040014e-03,-9.209645680210040014e-03,-1.074599407803338187e-02,-8.155709800080122515e-03,-1.157435316581581150e-02,-7.372443584644851854e-03,-7.372443584644851854e-03,-6.013864709904150931e-03,5.755352685675649838e-01,-6.497770278188126983e-03,5.146106495235160949e-01,-1.015822051759402572e-02,-3.467725200562690215e-03,-1.377900344913092837e-02,-1.157435316581581150e-02,-1.259874910710240270e-02,3.514821527639359899e-02,-1.629113168232943984e-02,-1.648481047547071046e-02,-1.465985121225103424e-02,-1.724016930657311028e-02,-8.155709800080122515e-03,-1.849658427372099026e-02,1.107202579228210582e-01,-3.467725200562690215e-03,-1.162259355282583770e-02,-1.705410285092430478e-02,9.677542113201226953e-03,-1.284285853407629054e-02
-1.545908988119082351e-03,-1.545908988119082351e-03,-2.249956497752304482e-02,-2.249956497752304482e-02,-1.545908988119082351e-03,-6.777003568058184019e-03,-1.545908988119082351e-03,-4.902514492488524098e-03,-2.186934581073164165e-03,-1.744836436828565637e-02,-7.945450837948769135e-03,-5.595047562006827055e-03,-8.099399411304157581e-03,-2.186934581073164165e-03,-6.213067989082651787e-03,-5.808099388675393680e-03,-5.808099388675393680e-03,-6.777003568058184019e-03,-5.143430567133278758e-03,-7.299411495400197000e-03,-4.649460637669506832e-03,-4.649460637669506832e-03,-3.792667509481668659e-03,-3.461122179110297410e-03,-4.097844465568722255e-03,-3.094744449185068014e-03,-6.406321852864388898e-03,-2.186934581073164165e-03,-8.689782895928770470e-03,-7.299411495400197000e-03,-7.945450837948769135e-03,-1.455419235674796502e-02,-1.027406647883222050e-02,-1.039621077396622739e-02,-9.245293013488179237e-03,-1.087258080138039408e-02,-5.143430567133278758e-03,-1.166494385811503616e-02,-3.461122179110297410e-03,-2.186934581073164165e-03,7.828719718391466409e-02,-1.075523725692362383e-02,8.453430748684305496e-02,-8.099399411304157581e-03
-4.383884931453893401e-03,-4.383884931453893401e-03,-6.380421139102211703e-02,-6.380421139102211703e-02,-4.383884931453893401e-03,-1.921821016033254184e-02,-4.383884931453893401e-03,-1.390253861969216118e-02,-6.201703741762295934e-03,-4.948002904473203928e-02,6.776584815727623029e-03,1.491470906111671269e-01,7.245029129416294955e-01,2.033441808392170702e-01,-1.761900302331373055e-02,-1.647059405572152274e-02,-1.647059405572152274e-02,-1.921821016033254184e-02,-1.458572783554967604e-02,-2.069965328431177046e-02,-1.318492911647219795e-02,-1.318492911647219795e-02,-1.075523725692362383e-02,-9.815041819107203983e-03,2.688725862584448456e-01,-8.776068747740487300e-03,-1.816703185805696938e-02,-6.201703741762295934e-03,-2.464246510489492489e-02,-2.069965328431177046e-02,-2.253169007347035138e-02,-2.461839750397856741e-02,-6.205345877949091163e-03,-2.948154911219031879e-02,-2.621777933901546509e-02,-3.083243807203661993e-02,-1.458572783554967604e-02,-3.307941929237750295e-02,-9.815041819107203983e-03,-6.201703741762295934e-03,-1.316819419099961308e-02,-3.049967553536664377e-02,-3.833564045932854464e-02,-2.296825706165550596e-02
-6.225004268020014296e-03,-6.225004268020014296e-03,-9.060034522736450102e-02,-9.060034522736450102e-02,-6.225004268020014296e-03,-2.728936597158809069e-02,-6.225004268020014296e-03,1.507258581389947505e-01,1.432082875315511816e-01,-3.915270076395485632e-02,-3.199442254214018844e-02,-2.252991296443937475e-02,-3.261433647857370915e-02,-8.806260398048954691e-03,-2.501853281582626376e-02,-2.338782150919462011e-02,-2.338782150919462011e-02,-2.728936597158809069e-02,-2.071135977521265659e-02,-2.939297724647189566e-02,-1.872226148882074129e-02,-1.872226148882074129e-02,-1.527216130778170922e-02,-1.393710787807429970e-02,-1.650103562622051712e-02,-1.246179273984809530e-02,-2.579671971822365684e-02,-8.806260398048954691e-03,-3.499166899931176189e-02,-2.939297724647189566e-02,-3.199442254214018844e-02,-5.860623764700006316e-02,-4.137119854543814396e-02,-4.186304429080030254e-02,-3.722857484520056270e-02,-4.378127199799412839e-02,1.181382709958721418e-02,7.056006164894270682e-01,-1.393710787807429970e-02,1.432082875315511816e-01,-8.723936423751413316e-02,-4.330875772278006824e-02,2.556617907657468547e-01,-3.261433647857370915e-02
-3.599827824352643760e-03,-3.599827824352643760e-03,-5.239283855931540362e-02,-5.239283855931540362e-02,-3.599827824352643760e-03,-1.578103639834310332e-02,-3.599827824352643760e-03,-1.141607184833368094e-02,-5.092530036043581808e-03,-4.063053389631986895e-02,-1.850190096784064958e-02,-1.302871517474941086e-02,-1.886038802118160732e-02,-5.092530036043581808e-03,-1.446784719772364024e-02,-1.352483098723577214e-02,-1.352483098723577214e-02,-1.578103639834310332e-02,-1.197707278403249351e-02,-1.699752366050481800e-02,-1.082680668806991486e-02,-1.082680668806991486e-02,-8.831664822495137457e-03,-8.059623185841482962e-03,-9.542304650788053372e-03,-7.206470279335189071e-03,-1.491786116449123935e-02,-5.092530036043581808e-03,-2.023516422814046131e-02,7.882500399143033132e-01,3.701077943907538081e-01,-3.389111972920753890e-02,-2.392435173350583588e-02,-2.420877884764294913e-02,-2.152873376765964547e-02,-2.531806153669672807e-02,-1.197707278403249351e-02,-2.716317053117445549e-02,-8.059623185841482962e-03,-5.092530036043581808e-03,-6.706878131383217645e-02,-2.504481352559771029e-02,-3.147931739716130356e-02,-1.886038802118160732e-02
-5.857414755083337893e-03,-5.857414755083337893e-03,-8.525035102011320476e-02,-8.525035102011320476e-02,-5.857414755083337893e-03,-2.567791571164514813e-02,-5.857414755083337893e-03,-1.857551831705901366e-02,-8.286246462132091858e-03,-6.611146431538442170e-02,-3.010513641596435433e-02,-2.119951070662081868e-02,-3.068844413461150819e-02,-8.286246462132091858e-03,-2.354117635208764769e-02,-2.200675933685505500e-02,-2.200675933685505500e-02,-2.567791571164514813e-02,-1.948834396281574899e-02,-2.765730772327235076e-02,-1.761670289232234940e-02,-1.761670289232234940e-02,-1.437033279571814370e-02,-1.311411491677360458e-02,-1.552664149127120502e-02,-1.172591785104009146e-02,-2.427341094150502893e-02,-8.286246462132091858e-03,-3.292539402013176797e-02,-2.765730772327235076e-02,-3.010513641596435433e-02,8.735319976273487885e-01,-3.892820926090850842e-02,-3.939101127711108069e-02,-3.503020949387420507e-02,-4.119596671038672220e-02,-1.948834396281574899e-02,-4.419821270000828112e-02,-1.311411491677360458e-02,-8.286246462132091858e-03,-5.620133783224701141e-02,-4.075135463166975475e-02,-3.756607890182651899e-02,-8.638048171531360897e-03
1.392237763885690316e-01,1.392237763885690316e-01,-6.587317101001323449e-02,-6.587317101001323449e-02,-4.526039825304019500e-03,-1.984139317449651677e-02,-4.526039825304019500e-03,-1.435335198104427390e-02,-6.402804489360560541e-03,-5.108450279040179648e-02,-2.326231828582989852e-02,-1.638091781905234509e-02,-2.371304169801665904e-02,-6.402804489360560541e-03,-1.819032903749667057e-02,-1.700468096408001492e-02,-1.700468096408001492e-02,-1.984139317449651677e-02,-1.505869476433759763e-02,-2.137087460087809532e-02,-1.361247277427343749e-02,-1.361247277427343749e-02,-1.110399404103105600e-02,-1.013331117374261306e-02,-1.199747681888567452e-02,-9.060647640837186934e-03,-1.875612863539812339e-02,-6.402804489360560541e-03,-2.544153877264970082e-02,-2.137087460087809532e-02,-2.326231828582989852e-02,-2.644496617055808185e-02,8.809961364460037192e-01,3.558405201809555080e-02,-2.706793523890760333e-02,-3.183223209715427965e-02,-1.505869476433759763e-02,-3.415207548925723591e-02,-1.013331117374261306e-02,-6.402804489360560541e-03,-6.529850722221153259e-02,-3.148867917163576668e-02,-2.230835964292905357e-02,-2.371304169801665904e-02
